kind,routeKey,floor,geometryId,pointsBefore,pointsAfter,pointsRemoved,turnsBefore,turnsAfter,turnsRemoved,routeLengthBefore,routeLengthAfter,clearanceBefore,clearanceAfter
floorNav,挂号缴费|||S1|||fromElevator,1楼,G0025,21,13,8,4,4,0,64.300769,64.300769,20.375,20.375
floorNav,挂号缴费|||S1|||toElevator,1楼,G0025,21,13,8,4,4,0,64.300769,64.300769,20.375,20.375
floorNav,挂号缴费|||S2|||fromElevator,1楼,G0026,11,8,3,0,0,0,38.010132,38.010132,20.378,20.378
floorNav,挂号缴费|||S2|||toElevator,1楼,G0026,11,8,3,0,0,0,38.010132,38.010132,20.378,20.378
floorNav,挂号缴费|||S5|||fromElevator,1楼,G0029,26,6,20,1,1,0,16.057321,16.057321,20.378,20.378
floorNav,挂号缴费|||S5|||toElevator,1楼,G0029,26,6,20,1,1,0,16.057321,16.057321,20.378,20.378
floorNav,挂号缴费|||S6|||fromElevator,1楼,G0030,16,5,11,1,1,0,25.953913,25.953913,20.197,20.197
floorNav,挂号缴费|||S6|||toElevator,1楼,G0030,16,5,11,1,1,0,25.953913,25.953913,20.197,20.197
floorNav,放射科|||S1|||fromElevator,1楼,G0031,25,14,11,3,3,0,38.672807,38.672807,20.375,20.375
floorNav,放射科|||S1|||toElevator,1楼,G0031,25,14,11,3,3,0,38.672807,38.672807,20.375,20.375
floorNav,放射科|||S3|||fromElevator,1楼,G0033,19,9,10,2,2,0,13.205665,13.205665,20.394,20.394
floorNav,放射科|||S3|||toElevator,1楼,G0033,19,9,10,2,2,0,13.205665,13.205665,20.394,20.394
floorNav,消控室|||S1|||fromElevator,1楼,G0037,13,10,3,4,4,0,26.337359,26.337359,20.197,20.197
floorNav,消控室|||S1|||toElevator,1楼,G0037,13,10,3,4,4,0,26.337359,26.337359,20.197,20.197
floorNav,消控室|||S2|||fromElevator,1楼,G0038,13,12,1,0,0,0,41.002909,41.002909,20.772,20.772
floorNav,消控室|||S2|||toElevator,1楼,G0038,13,12,1,0,0,0,41.002909,41.002909,20.772,20.772
floorNav,消控室|||S3|||fromElevator,1楼,G0039,19,14,5,1,1,0,40.684793,40.684793,20.772,20.772
